,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
463,Skintimate,Jacob Schick,False,False,1993,Tools & Brushes,7,False
464,Skyn Iceland,Sarah Kugelman,True,False,2003,"Skin Care ,Gifts ,Makeup",29,False
465,SmartyPits,Stacia Guzzo,True,False,2014,,10,False
466,Smashbox,Davis Factor and Dean Factor,False,False,1996,"Makeup, Gifts, Skin Care",52,False
467,SNP,Park Seol-woong,False,True,2009,"Global Skin Care ,Moisturizers ,Cleansers ,Treatment & Serums",6,False
468,"
										Soap & Glory
								",Marcia Kilgore,True,False,2006,"Bath & Body, Skin Care, Makeup, Gifts",49,False
469,SoCozy,Cozy Friedman,True,False,2002,"Hair ,Bath & Body",16,False
470,Sorbus,Yong Kim,False,True,2016,,6,False
471,Specific Beauty,Heather Woolery-Lloyd,True,True,2010,"Skin Care ,Gifts",10,False
472,Spectrum,Sophie and Hannah Pycroft,True,False,2014,,1,False
473,Spongeables,Elaine Binder,True,False,2003,"Bath & Body ,Nails ,Skin Care",7,False
474,Spotlight Oral Care,Lisa Creaven,True,False,2016,"Bath & Body ,Tools & Brushes ,Gifts",15,False
475,St. Moriz,Melanie Brownlow,True,False,2007,"Bath & Body ,Skin Care",10,False
476,St. Tropez,Judy Naake,True,False,2007,"Bath & Body ,Gifts",31,True
477,Stila,Jeanine Lobell,True,False,1994,"Makeup, Gifts",31,False
478,STMNT Grooming Goods,"Sofie Pok, Julius Arriola, and Miguel Gutierrez",True,True,2020,"Men ,Hair ,Gifts ,Bath & Body",16,False
479,StriVectin,Joan Sing Malloy,True,True,2002,"Skin Care, Gifts, Bath & Body, Makeup",48,False
480,Sugarbearhair,Nicole Nightly and Dan Morris,True,False,2015,"Gifts ,Bath & Body ,Skin Care",6,True
481,Sun + Moon,Amber Ivie,True,False,2014,"Moisturizers ,Treatment & Serums ,Cleansers",6,False
482,Sun Bum,Tom Rinks,False,False,2009,"Skin Care ,Bath & Body ,Hair ,Gifts ,Makeup",72,False
483,SUNDAY RILEY,Sunday Riley,True,False,2009,"Skin Care ,Gifts ,Bath & Body ,Hair",25,False
484,Sunday || Sunday ,Keenan Beasley,False,False,2020,"Hair ,Skin Care ,Bath & Body",8,False
485,Supergoop!,Holly Thaggard,True,False,2007,"Skin Care ,Bath & Body ,Makeup ,Gifts",20,False
486,Supersmile,Irwin Smigel and Lucia Smigel,True,False,1987,,5,False
487,SweetSpot Labs,Shari Creed,True,False,2003,"Bath & Body ,Skin Care ,Gifts",16,True
488,T3,Gay Warren Gaddis,True,False,1989,"Tools & Brushes ,Hair ,Gifts",27,False
489,TAN-LUXE,"Brendan Heggarty, Marc Elrick, and Joanna Livingstone",True,False,2015,"Skin Care ,Bath & Body ,Gifts",16,False
490,Tangle Teezer,Shaun Pulfrey,False,False,2007,"Tools & Brushes ,Hair ,Gifts ,Men",32,False
491,Tanologist,Lottie Tomlinson,True,False,2018,"Skin Care ,Bath & Body ,Gifts",11,True
492,Tartan + Twine,Suzanne G,True,False,2014,"Makeup ,Gifts ,Tools & Brushes ,Skin Care ,Hair ,Bath & Body",54,False
493,Tarte,Maureen Kelly,True,False,2000,"Makeup, Skin Care, Gifts, Tools & Brushes, Bath & Body, Hair",118,False
494,Teami Blends,Adi Arezzini,True,False,2013,"Skin Care ,Bath & Body",9,False
495,Terra Beauty Bars,"Fernanda, Luana, Jasmine, and Angela",True,True,2016,"Skin Care ,Bath & Body ,Gifts ,Nails ,Hair",14,True
496,tgin,Chris-Tia Donaldson,True,True,2011,"Hair ,Tools & Brushes ,Bath & Body ,Skin Care",27,False
497,Thayers,Henry Thayer,False,False,1847,"Cleansers ,Moisturizers ,Travel Size",9,False
498,The Crème Shop,Theresa and Lawrence Kim,True,True,1988,"Global Skin Care ,Treatment & Serums ,Moisturizers ,Eye Treatments",20,False
499,The Fox Tan,Olivia Zorzut and Kelly Euripidou,True,False,2015,"Skin Care ,Bath & Body",10,False
500,The Good Patch,"Betsy Scanlan, Kelly Brock, and David Nicholson",True,False,2018,Sleep Essentials,12,False
501,The Hair Edit,James Simon,False,False,2019,"Tools & Brushes ,Hair",43,False
502,The Handmade Soap Co.,Donagh Quigley,False,False,2009,"Bath & Body ,Gifts ,Fragrance",29,False
503,The Mane Choice,Courtney Adeleye,True,True,2013,"Hair ,Skin Care ,Bath & Body",20,False
504,The Ordinary,Jo Ingram,True,False,2012,"Skin Care , Makeup, Hair, Gifts",51,True
505,The Original MakeUp Eraser,Elexsis McCarthy,True,False,2013,"Skin Care ,Makeup ,Gifts",7,False
506,THE ROUTE,Evan Walker,False,False,2018,"Skin Care ,Makeup ,Gifts",11,True
507,Thick Head,Jennifer Jackson,True,True,2015,"Men ,Hair ,Skin Care ,Gifts ,Bath & Body",5,False
508,this works,Kathy Phillips,True,False,2003,"Bath & Body ,Gifts",6,False
509,Tiffany & Co.,Charles Lewis Tiffany and John B. Young,False,False,1837,"Fragrance ,Gifts ,Men",6,False
510,Tigi,Anthony Mascolo,False,False,1986,"Treatment, Styling Products",4,False
511,TOM FORD,Tom Ford,False,False,2005,"Fragrance ,Men ,Gifts",21,False
