Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
Maison Louis Marie,Marie du Petit Thouars and Matthew Berkson,TRUE,FALSE,1792,"Fragrance, Bath & Body",37,18,0.49
Maison Margiela,Martin Margiela,FALSE,FALSE,1988,"Fragrance, Bath & Body",35,0,0.00
MAKE UP FOR EVER,Dany Sanz,TRUE,FALSE,1984,"Makeup, Skincare,Tools & Brushes",85,0,0.00
MAKEUP BY MARIO,Mario Dedivanovic,FALSE,FALSE,2017,"Makeup, Skincare,Tools & Brushes",34,0,0.00
Marc Jacobs Beauty,Marc Jacobs,FALSE,FALSE,1984,"Makeup, Skincare, Bath & Body, Tools & Brushes",26,0,0.00
Marc Jacobs Fragrances,Marc Jacobs and Robert Duffy,FALSE,FALSE,1985,Fragrance,28,0,0.00
Mario Badescu,Mario Badescu,FALSE,FALSE,1967,"Skincare, Makeup, Bath & Body",43,0,0.00
maude,Éva Goicochea,TRUE,FALSE,2018,Bath & Body,10,8,0.80
Melanin Haircare,Whitney White and Taffeta White,TRUE,TRUE,2015,"Hair, Bath & Body",4,0,0.00
Melt Cosmetics,Lora Arellano and Dana Bomar,TRUE,FALSE,2012,Makeup,27,0,0.00
MERIT,Katherine Power,TRUE,FALSE,2021,"Makeup, Skincare,Tools & Brushes",9,8,0.89
Milk Makeup,"Zanna Roberts Rassi, Mazdack Rassi, Georgie Greville, and Dianna Ruth",TRUE,FALSE,2014,"Makeup, Skincare, Bath & Body",59,52,0.88
Mizani,Zaino Mizani,FALSE,FALSE,1991,"Hair, Bath & Body",26,0,0.00
Montblanc,August Eberstein,FALSE,FALSE,1908,"Fragrance, Bath & Body",7,0,0.00
Moon Juice,Amanda Chantal Bacon,TRUE,FALSE,2011,"Skincare, Bath & Body, Hair",21,9,0.43
Moroccanoil,Carmen Tal,TRUE,FALSE,2007,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup, Fragrance",91,0,0.00
Mount Lai,Stephanie Zheng,TRUE,TRUE,2017,"Skincare, Tools & Brushes",10,0,0.00
Mugler,Thierry Mugler,FALSE,FALSE,1973,Fragrance,9,0,0.00
Murad,Howard Murad,FALSE,TRUE,1989,"Skincare, Bath & Body, Makeup",49,0,0.00
NAILS INC.,Thea Green and MT Carney,TRUE,FALSE,1999,"Makeup, Tools & Brushes",18,0,0.00
Narciso Rodriguez,"Narciso Rodriguez, Christine Nagel, and Francis Kurkdjian ",TRUE,FALSE,2003,Fragrance,5,0,0.00
NARS,François Nars,FALSE,FALSE,1994,"Makeup, Skincare, Bath & Body, Tools & Brushes",63,0,0.00
Natasha Denona,Natasha Denona,TRUE,FALSE,2000,"Makeup, Bath & Body",57,0,0.00
Naturally Serious,June Jacobs,TRUE,FALSE,2018,Skincare,10,10,1.00
Nécessaire,Randi Christiansen,TRUE,FALSE,2017,"Skincare, Bath & Body",8,8,1.00
NEST New York,Laura Slatkin,TRUE,FALSE,2005,"Fragrance, Bath & Body",83,0,0.00
NUDESTIX,Jenny Frankel and Taylor Frankel,TRUE,FALSE,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",31,0,0.00
The Nue Co.,Jules Miller,TRUE,FALSE,2017,"Skincare, Bath & Body, Hair, Fragrance",9,9,1.00
NuFACE,Tera Peterson,TRUE,FALSE,2005,"Skincare, Tools & Brushes, Bath & Body, Makeup",14,0,0.00
Nurse Jamie,Jamie Sue Sherrill,TRUE,FALSE,2008,"Skincare, Tools & Brushes",4,0,0.00
Olaplex,Dr. Eric Pressly and Dr. Craig Hawker,FALSE,FALSE,2014,Hair,11,11,1.00
