,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
80,Eight & Bob,Albert Fouquet,False,False,1937,Fragrance,1,0,0.0,False
81,Ellis Brooklyn,Bee Shapiro,True,True,2014,"Fragrance, Skincare, Bath & Body",32,0,0.0,False
82,Erno Laszlo,Charles Denton,False,False,1927,Skincare,3,0,0.0,False
83,Estée Lauder,Estée Lauder and Joseph Lauder,True,False,1946,"Makeup, Skincare, Bath & Body",54,0,0.0,False
84,Evian,Antoine Riboud,False,False,1829,Skincare,3,1,0.33,True
85,Fable & Mane,Akash Mehta,False,True,2020,"Hair, Tools & Brushes",10,5,0.5,True
86,FaceGym,Inge Theron,True,False,2015,"Skincare, Tools & Brushes",13,10,0.77,True
87,Farmacy,David Chung,False,True,2015,"Skincare, Bath & Body, Makeup",28,24,0.86,True
88,Fashion Fair,Eunice Johnson,True,True,1973,Makeup,6,0,0.0,False
89,Fenty Beauty by Rihanna,Robyn Rihanna Fenty,True,True,2017,"Makeup, Skincare, Bath & Body, Tools & Brushes",79,0,0.0,False
90,Fenty Skin,Robyn Rihanna Fenty,True,True,2021,"Skincare, Bath & Body, Makeup",19,15,0.79,True
91,First Aid Beauty,Lilli Gordon,True,False,2008,"Skincare, Hair, Bath & Body, Makeup",38,37,0.97,True
92,Flora + Bast,Derek Chase,False,False,2019,"Skincare, Bath & Body",4,4,1.0,True
93,Floral Street,Michelle Feeney,True,False,2017,"Fragrance, Bath & Body",27,19,0.7,True
94,FOREO,Filip Sedic ,False,False,2013,"Skincare, Tools & Brushes",18,0,0.0,False
95,FORVR Mood,Jackie Aina,True,True,2018,"Fragrance, Bath & Body",8,0,0.0,False
96,Freck Beauty,Remi Brixton,True,False,2017,"Makeup, Skincare",7,4,0.57,True
97,fresh,Lev Glazman and Alina Roytberg,True,False,1991,"Skincare, Makeup, Bath & Body, Fragrance",107,78,0.73,True
98,ghd,"Robert Powls, Martin Penny, and Gary Douglas",False,False,2001,"Hair, Tools & Brushes",18,0,0.0,False
99,Gisou,Negin Mirsalehi,True,False,2015,Hair,15,0,0.0,False
100,Givenchy,Hubert de Givenchy,False,False,1987,"Makeup, Skincare, Fragrance",40,1,0.03,True
101,GLAMGLOW,Shannon Dellimore and Glenn Dellimore,True,False,2010,"Skincare, Makeup",23,0,0.0,False
102,Glamnetic,Ann McFerran,True,True,2019,Makeup,2,0,0.0,False
103,GLO Science,Jonathan B. Levine,False,False,2009,"Skincare, Tools & Brushes",7,0,0.0,False
104,Glow Recipe,Christine Chang and Sarah Lee,True,True,2014,"Skincare, Bath & Body, Makeup",22,22,1.0,True
105,Good Dye Young,Hayley Williams,True,False,2016,Hair,2,0,0.0,False
106,Google,Sergey Brin and Larry Page,False,False,1998,Tools & Brushes,1,0,0.0,False
107,goop,Gwyneth Paltrow,True,False,2008,"Skincare, Bath & Body, Hair",27,16,0.59,True
108,Grace Eleyae,Grace Eleyae,True,True,2015,"Hair, Tools & Brushes",7,0,0.0,False
109,Grande Cosmetics,Alicia Grande,True,False,2008,"Makeup, Skincare,Tools & Brushes, Hair",17,0,0.0,False
110,Gucci,Guccio Gucci,False,False,1921,"Makeup, Skincare, Fragrance, Tools & Brushes",57,0,0.0,False
111,GUERLAIN,Pierre François Pascal Guerlain,False,False,1828,"Makeup, Skincare, Fragrance, Bath & Body, Tools & Brushes",48,14,0.29,True
112,Herbivore,Julia Wills and Alex Kummerow,True,False,2011,"Skincare, Bath & Body, Tools & Brushes",31,28,0.9,True
113,HERETIC,Douglas Little,False,False,2010,"Fragrance, Skincare, Bath & Body",18,14,0.78,True
114,HERMÈS,Jean-Claude Ellena,False,False,2006,"Fragrance, Bath & Body",30,0,0.0,False
115,Hourglass,Carisa Janes,True,False,2004,"Makeup, Skincare, Bath & Body, Tools & Brushes",87,0,0.0,False
116,HUDA BEAUTY,Huda Kattan,True,True,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",70,0,0.0,False
117,HUM Nutrition,Walter Faulstroh,False,False,2012,"Skincare, Bath & Body, Makeup, Hair",26,0,0.0,False
118,Hyper Skin,Desiree Verdejo,True,True,2019,Skincare,2,2,1.0,True
