Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Coco & Eve
								",Emily Hamilton,TRUE,FALSE,2015,"Bath & Body ,Hair ,Skin Care",14
"
										cocokind
								",Priscilla Tsai,TRUE,TRUE,2015,"Skin Care ,Bath & Body",14
"
										Color Oops
								",Ann and Dave Agrey,TRUE,FALSE,1991,,1
"
										Color Wow
								",Gail Federici,FALSE,FALSE,2013,"Hair Color ,Styling Products",2
"
										ColourPop
								",aura and John Nelson,TRUE,FALSE,2014,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",110
"
										Completely Bare
								",Cindy Barshop,TRUE,FALSE,1998,"Bath & Body ,Skin Care",9
"
										Conair
								",Leandro Rizzuto,FALSE,FALSE,1959,"Tools & Brushes ,Hair ,Bath & Body ,Makeup ,Skin Care ,Gifts ,Men",113
"
										COOLA
								",Chris Birchy,FALSE,FALSE,2007,"Skin Care ,Bath & Body ,Makeup ,Hair",33
"
										COSRX
								",Jun Sang Hun,FALSE,TRUE,2013,"Skin Care ,Gifts",26
"
										CoTz
								",Harry Fallick,FALSE,FALSE,2002,-,5
"
										COVER FX
								",Lee Graff,TRUE,FALSE,2000,"Makeup ,Skin Care ,Gifts",18
"
										CoverGirl
								",Francis J. Townsend,FALSE,FALSE,1961,"Makeup, Skin Care, Gifts",81
"
										Crepe Erase
								", Bill Guthy and Greg Renker,FALSE,FALSE,2014,"Skin Care ,Bath & Body ,Gifts",9
"
										Crest
								",Nick and Cherry Harroz,TRUE,FALSE,1955,Gifts,10
"
										Cricket
								",Wayne Clark,FALSE,FALSE,1982,"Tools & Brushes ,Hair",10
"
										Croc
								",T.J. Park,FALSE,FALSE,2005,"Tools & Brushes ,Hair",6
"
										CURLS
								",Mahisha Dellinger ,TRUE,TRUE,2002,"Styling Products ,Shampoo & Conditioner ,Treatment",13
"
										Curlsmith
								",Michal Berski,FALSE,FALSE,2018,"Hair, Gifts",63
"
										Curél
								",Tomiro Nagase,FALSE,TRUE,1984,"Skin Care ,Makeup ,Gifts",6
"
										Céla
								",Celine Tadrissi,TRUE,FALSE,2016,"Bath & Body ,Gifts ,Fragrance",12
"
										Daily Concepts
								",Emilio Smeke,FALSE,FALSE,2011,"Bath & Body ,Skin Care ,Tools & Brushes ,Gifts ,Makeup",16
"
										Dashing Diva
								",John Chang,FALSE,TRUE,2003,"Nail Polish Stickers ,Nail Care",88
"
										DefineMe Fragrance
								",Jennifer McKay Newton,TRUE,FALSE,2015,"Body Mist & Hair Mist ,Perfume ,Rollerballs & Purse Sprays",12
"
										Derma E
								",Linda Miles and David Stearn,TRUE,FALSE,1984,"Skin Care ,Hair ,Bath & Body ,Makeup ,Men",57
"
										Dermablend
								",Craig Roberts,FALSE,FALSE,1981,"Face ,Body Makeup ,Travel Size",14
"
										DERMAFLASH
								",Dara Levy,TRUE,FALSE,2015,"Tools & Brushes ,Skin Care ,Bath & Body",7
"
										Design Essentials
								",Cornell McBride,FALSE,TRUE,1990,"Styling Products ,Shampoo & Conditioner ,Treatment",18
"
										DevaCurl
								",Lorraine Massey,TRUE,FALSE,1994,"Hair ,Gifts ,Tools & Brushes ,Bath & Body",60
"
										DHC
								",Yoshiaki Yoshida,FALSE,TRUE,1972,"Skin Care ,Makeup ,Tools & Brushes",15
"
										Diane
								",James Simon,FALSE,FALSE,1907,"Tools & Brushes ,Hair",17
"
										Differin
								",Stuart Raetzman,FALSE,FALSE,2016,"Skin Care ,Bath & Body",11
"
										Dionis
								",Kate Crosby,TRUE,FALSE,1982,"Bath & Body ,Gifts ,Skin Care ,Men ,Makeup",45
"
										DKNY
								",Donna Karan,TRUE,FALSE,1984,"Fragrance ,Gifts",3
"
										Dolce&Gabbana
								",Domenico Dolce and Stefano Gabbana,FALSE,FALSE,1990,"Fragrance, Men, Gifts",30
"
										Donna Karan
								",Donna Karan,TRUE,FALSE,1984,"Fragrance ,Gifts ,Bath & Body",6
"
										Dotted Zebra
								",Michael Postle,FALSE,FALSE,2018,-,6
"
										dpHUE
								",Donna Pohlad and Justin Anderson,TRUE,FALSE,2010,"Hair ,Gifts",26
"
										Dr Roebuck's
								",Zoe Roebuck,TRUE,FALSE,2016,"Treatment & Serums ,Cleansers",3
"
										Dr. Brandt
								",Fredric Brandt,FALSE,FALSE,2000,"Skin Care ,Makeup",8
"
										Dr. PAWPAW
								",Johnny Paterson,FALSE,FALSE,2013,"Skin Care ,Makeup ,Bath & Body",5
"
										Drunk Elephant
								",Tiffany Masterson,TRUE,FALSE,2013,"Skin Care ,Bath & Body ,Hair ,Gifts ,Makeup",45
"
										Drybar
								",Alli Webb,TRUE,FALSE,2010,"Hair, Tools & Brushes, Gifts, Bath & Body",81
"
										Duke Cannon Supply Co
								",Anthony Albanese,FALSE,FALSE,2011,"Men ,Fragrance ,Bath & Body ,Gifts ,Skin Care ,Hair",58
